content_hash,bookmaker,phase,market,selection,line,price
fb66f8f04e9f4dd33476019d828f9778,market_avg,open,1x2,draw,,4.8
fb66f8f04e9f4dd33476019d828f9778,market_avg,open,1x2,home,,1.43
fb66f8f04e9f4dd33476019d828f9778,market_avg,open,asian_handicap,away,1.25,1.88
fb66f8f04e9f4dd33476019d828f9778,market_avg,open,asian_handicap,home,-1.25,1.86
fb66f8f04e9f4dd33476019d828f9778,market_avg,open,total_goals,over,2.5,1.41
fb66f8f04e9f4dd33476019d828f9778,market_avg,open,total_goals,under,2.5,2.8
fb66f8f04e9f4dd33476019d828f9778,market_max,open,1x2,away,,6.6
fb66f8f04e9f4dd33476019d828f9778,market_max,open,1x2,draw,,5.0
fb66f8f04e9f4dd33476019d828f9778,market_max,open,1x2,home,,1.46
fb66f8f04e9f4dd33476019d828f9778,market_max,open,asian_handicap,away,1.25,1.93
